sexo,edad,años_edc,pareja,estudiante_act,estrato,pc,internet,reside_padre,reside_madre,sin_rec_etnico
1,2.337459271948339,1.9763837388597605,0,0,3.6133703141036326,1,1,0,0,1
1,-0.1957000021435188,-0.19999264029309213,0,0,0.49796456582788795,1,1,0,1,1
0,1.0708796349024101,-1.6509102263949937,1,0,-0.5405040169306936,0,0,0,0,0
1,-1.4622796391894477,-0.19999264029309213,0,0,0.49796456582788795,1,1,0,1,1
1,-0.6427281093361996,1.0091053481251593,0,0,1.5364331485864695,1,1,1,1,1
1,-0.86624216293254,-0.19999264029309213,1,0,-0.5405040169306936,0,0,0,0,1
1,-0.86624216293254,-0.19999264029309213,0,0,-1.5789725996892752,0,0,1,0,1
1,-0.7172327938683131,1.4927445434924598,0,0,0.49796456582788795,1,1,0,0,1
0,1.219889003966637,1.0091053481251593,1,0,0.49796456582788795,1,1,0,0,1
1,-0.86624216293254,-0.19999264029309213,0,0,-0.5405040169306936,1,1,0,0,1
0,-0.6427281093361996,1.0091053481251593,0,0,0.49796456582788795,0,1,0,1,1
0,-0.12119531761140533,-0.6836318356603927,1,0,0.49796456582788795,0,0,0,1,1
1,-0.86624216293254,-0.19999264029309213,0,1,-0.5405040169306936,1,1,0,1,1
1,0.6238515277097293,-0.19999264029309213,1,0,-0.5405040169306936,0,1,0,0,1
0,-0.86624216293254,-1.6509102263949937,1,0,-0.5405040169306936,0,1,0,0,1
0,0.0278140514528216,-0.19999264029309213,1,0,0.49796456582788795,1,1,0,0,1
1,1.219889003966637,1.0091053481251593,1,0,0.49796456582788795,1,1,0,0,1
1,0.5493468431776158,1.9763837388597605,1,0,1.5364331485864695,1,1,0,0,1
0,-0.86624216293254,1.0091053481251593,1,0,0.49796456582788795,1,1,0,0,1
0,-1.0152515319967668,0.28364655507420844,1,0,-0.5405040169306936,1,1,1,1,1
1,-0.86624216293254,-0.925451433344043,1,0,-0.5405040169306936,0,1,0,0,1
1,0.40033747411338894,-0.19999264029309213,0,0,-0.5405040169306936,0,0,0,0,1
0,-0.7917374784004265,-0.19999264029309213,0,0,0.49796456582788795,0,1,0,1,1
0,-0.9407468474646534,0.28364655507420844,1,1,-0.5405040169306936,0,1,0,0,1
1,-0.7172327938683131,-0.19999264029309213,1,0,-1.5789725996892752,0,1,0,0,1
1,-1.164260901060994,-0.19999264029309213,0,0,0.49796456582788795,1,1,0,1,1
0,0.10231873598493506,1.4927445434924598,1,0,0.49796456582788795,1,1,0,0,1
0,-1.0152515319967668,0.5254661527578587,0,0,0.49796456582788795,1,1,1,1,1
0,1.5924124266272044,-1.6509102263949937,1,0,-0.5405040169306936,0,0,0,0,1
1,-0.49371874027197266,-0.19999264029309213,1,0,-0.5405040169306936,1,1,0,0,1
0,0.6983562122418427,-0.19999264029309213,0,1,0.49796456582788795,0,0,0,0,1
1,-0.7917374784004265,1.0091053481251593,1,0,-0.5405040169306936,0,1,0,0,1
0,0.17682342051704852,-0.19999264029309213,1,0,-1.5789725996892752,1,1,0,1,1
1,-0.6427281093361996,1.9763837388597605,1,1,0.49796456582788795,0,1,0,0,1
0,0.5493468431776158,1.0091053481251593,1,0,-1.5789725996892752,1,1,0,0,1
0,-0.41921405573985915,1.7345641411761101,1,0,3.6133703141036326,1,1,0,0,1
1,-0.27020468667563224,0.767285750441509,1,1,0.49796456582788795,1,1,0,0,1
0,1.7414217956914313,1.0091053481251593,0,0,-0.5405040169306936,0,1,0,0,1
1,1.8159264802235446,-0.925451433344043,1,0,0.49796456582788795,1,1,0,0,1
1,-0.41921405573985915,-0.19999264029309213,1,0,-0.5405040169306936,0,1,0,0,1
1,-0.86624216293254,0.28364655507420844,0,0,-0.5405040169306936,1,1,1,0,1
0,-1.3877749546573341,0.767285750441509,0,1,-0.5405040169306936,1,1,1,1,1
1,-1.4622796391894477,0.04182695739055815,0,1,-0.5405040169306936,1,1,0,0,1
1,-0.1957000021435188,-0.19999264029309213,1,0,-0.5405040169306936,0,0,0,0,1
1,-0.568223424804086,-0.6836318356603927,1,0,0.49796456582788795,0,0,0,0,1
0,-0.12119531761140533,0.5254661527578587,0,0,0.49796456582788795,1,1,0,0,1
0,1.7414217956914313,1.7345641411761101,1,0,2.5749017313450513,1,1,0,0,1
